price,downloadspeed,species
59.99,100,Lafayette
79.99,150,Lafayette
33.95,20,Lafayette
54.95,80,Lafayette
109.95,1000,Lafayette
37.14285714,76,London
32.85714286,38,London
21.42857143,38,London
11.42857143,17,London
14.28571429,17,London
30,17,London
8.9,17,London
28.5,38,London
42.78571429,76,London
17.84285714,16,London
21.41428571,16,London
24.98571429,38,London
32.12857143,76,London
26.78571429,17,London
10.71428571,17,London
28.57142857,38,London
42.85714286,76,London
9.642857143,38,London
14.28571429,38,London
21.42857143,76,London
37.85714286,50,London
45,100,London
55.71428571,152,London
26.24285714,16,London
36.45714286,16,London
51.05714286,16,London
34.95,6,Los Angeles
44.95,18,Los Angeles
54.95,24,Los Angeles
64.95,45,Los Angeles
64.99,300,Los Angeles
69.99,100,Los Angeles
59.99,30,Los Angeles
49.99,20,Los Angeles
39.99,15,Los Angeles
59.99,25,Los Angeles
74.99,25,Los Angeles
69.99,50,Los Angeles
84.99,50,Los Angeles
79.99,75,Los Angeles
94.99,75,Los Angeles
129.99,150,Los Angeles
209.99,300,Los Angeles
299.99,500,Los Angeles
47.49,60,Los Angeles
49.41329857,8,Mexico City
67.66623207,12,Mexico City
93.74185137,20,Mexico City
106.779661,30,Mexico City
134.1590613,50,Mexico City
195.4367666,100,Mexico City
52.0208605,5,Mexico City
65.05867014,10,Mexico City
78.09647979,15,Mexico City
104.1720991,35,Mexico City
149.8044329,50,Mexico City
182.398957,100,Mexico City
260.6258149,200,Mexico City
32.46414602,4,Mexico City
48.1095176,8,Mexico City
45.50195567,5,Mexico City
65.05867014,10,Mexico City
57.23598435,6,Mexico City
88.00521512,20,Mexico City
156.3233377,200,Mexico City
57.95,10,New York
49.99,50,New York
59.99,110,New York
64.99,300,New York
69.99,100,New York
59.99,30,New York
49.99,20,New York
39.99,15,New York
59.99,25,New York
74.99,25,New York
69.99,50,New York
84.99,50,New York
79.99,75,New York
94.99,75,New York
129.99,150,New York
209.99,300,New York
299.99,500,New York
37.63529412,30,Paris
23.51764706,12,Paris
41.05882353,30,Paris
35.28235294,15,Paris
35.28235294,50,Paris
35.28235294,1000,Paris
42.32941176,15,Paris
28.81176471,15,Paris
28.81176471,50,Paris
34.69411765,15,Paris
34.69411765,50,Paris
34.69411765,100,Paris
39.4,200,Paris
45.28235294,500,Paris
18.70588235,20,Paris
24.58823529,20,Paris
18.70588235,95,Paris
24.58823529,95,Paris
24.58823529,20,Paris
30.47058824,20,Paris
38.81176471,100,Paris
38.81176471,300,Paris
38.81176471,1000,Paris
37.40740741,20,Prague
44.88888889,40,Prague
48.07407407,40,Prague
61.40740741,120,Prague
83.62962963,240,Prague
29.62962963,5,Prague
32.59259259,8,Prague
36.2962963,20,Prague
43.7037037,40,Prague
142.2857143,500,Riga
37,250,Riga
37,50,Riga
32.85714286,20,Riga
42.85714286,100,Riga
48.57142857,100,Riga
62.85714286,250,Riga
25.71428571,20,Riga
34.28571429,100,Riga
42.85714286,100,Riga
54.28571429,250,Riga
31.14285714,5,Riga
51.17142857,6,Riga
71.11428571,10,Riga
71.11428571,20,Riga
42.57142857,100,Riga
62.57142857,250,Riga
82.54285714,400,Riga
54.28571429,5,Riga
92.85714286,5,Riga
39.95,5,San Francisco
47.45,55,San Francisco
57.45,100,San Francisco
77.45,110,San Francisco
39.99,20,San Francisco
49.95,6,San Francisco
46.47,25,San Francisco
51.97,50,San Francisco
114.95,105,San Francisco
69,6,San Francisco
83,8,San Francisco
91,10,San Francisco
98,15,San Francisco
39.95,20,San Francisco
55,100,San Francisco
41.66,100,San Francisco
25,100,San Francisco
30,200,San Francisco
34.95607187,160,Seoul
32.62566708,160,Seoul
30.29526229,160,Seoul
2.913005989,160,Seoul
31.46046468,100,Seoul
29.13005989,100,Seoul
27.9648575,100,Seoul
46.60809583,1000,Seoul
41.94728624,1000,Seoul
37.28647666,1000,Seoul
32.62566708,1000,Seoul
30.29526229,1000,Seoul
41.94728624,200,Seoul
37.75255762,200,Seoul
33.55782899,200,Seoul
29.36310037,200,Seoul
27.26573606,200,Seoul
38.45167906,160,Seoul
34.60651115,160,Seoul
30.76134325,160,Seoul
26.91617534,160,Seoul
24.99359139,160,Seoul
34.95607187,100,Seoul
31.46046468,100,Seoul
27.9648575,100,Seoul
24.46925031,100,Seoul
22.72144672,100,Seoul
30.29526229,8,Seoul
27.26573606,8,Seoul
24.23620983,8,Seoul
21.2066836,8,Seoul
19.69192049,8,Seoul
27.9648575,160,Seoul
13.98242875,160,Seoul
48.70546014,100,Seoul
43.5785696,100,Seoul
40.37426301,100,Seoul
32.6839272,100,Seoul
29.13005989,100,Seoul
32.27610636,100,Seoul
35.36389271,100,Seoul
38.45167906,100,Seoul
38.45167906,100,Seoul
37.29812868,100,Seoul
36.5290951,100,Seoul
34.60651115,100,Seoul
32.6839272,100,Seoul
31.91489362,100,Seoul
57.99903335,160,Tokyo
53.16578057,40,Tokyo
38.47269212,12,Tokyo
57.99903335,160,Tokyo
44.46592557,30,Tokyo
30.93281779,8,Tokyo
55.09908168,200,Tokyo
55.09908168,100,Tokyo
48.33252779,200,Tokyo
48.33252779,100,Tokyo
42.04929918,200,Tokyo
42.04929918,100,Tokyo
41.08264862,200,Tokyo
41.08264862,100,Tokyo
36.24939584,200,Tokyo
36.24939584,100,Tokyo
35.28274529,200,Tokyo
35.28274529,100,Tokyo
32.38279362,200,Tokyo
32.38279362,100,Tokyo
31.41614306,200,Tokyo
31.41614306,100,Tokyo
60.89898502,1000,Tokyo
50.2658289,1000,Tokyo
48.33252779,1000,Tokyo
39.63267279,100,Tokyo
36.73272112,100,Tokyo
22.71628806,16,Tokyo
26.58289029,16,Tokyo
37.69937168,100,Tokyo
39.14934751,1000,Tokyo
32.38279362,1000,Tokyo
55.09908168,1000,Tokyo
37.97003383,50,Tokyo
37.00338328,26,Tokyo
34.10343161,12,Tokyo
30.23682939,8,Tokyo
24.78492025,50,Tokyo
17.40937651,12,Tokyo
24.15322581,10,Toronto
28.18548387,10,Toronto
28.18548387,15,Toronto
32.21774194,15,Toronto
32.21774194,25,Toronto
36.25,25,Toronto
40.28225806,30,Toronto
44.31451613,30,Toronto
48.34677419,30,Toronto
52.37903226,30,Toronto
52.37903226,50,Toronto
56.41129032,50,Toronto
52.37903226,60,Toronto
56.41129032,60,Toronto
60.44354839,60,Toronto
64.47580645,60,Toronto
38.66935484,5,Toronto
46.73387097,15,Toronto
49.95967742,25,Toronto
56.41129032,50,Toronto
72.54032258,175,Toronto
37.05645161,6,Toronto
41.89516129,10,Toronto
50.76612903,14,Toronto
49.95967742,20,Toronto
59.63709677,55,Toronto
83.83064516,55,Toronto
76.57258065,120,Toronto
100.766129,120,Toronto
41.92741935,10,Toronto
49.99193548,30,Toronto
62.08870968,30,Toronto
70.15322581,30,Toronto
56.44354839,60,Toronto
68.54032258,60,Toronto
76.60483871,60,Toronto
69.34677419,150,Toronto
81.44354839,150,Toronto
89.50806452,150,Toronto
80.63709677,250,Toronto
92.73387097,250,Toronto
100.7983871,250,Toronto
182.25,350,Toronto
21.76612903,6,Toronto
26.60483871,6,Toronto
32.25,6,Toronto
20.15322581,7,Toronto
24.18548387,7,Toronto
32.25,7,Toronto
26.60483871,10,Toronto
36.28225806,10,Toronto
26.60483871,15,Toronto
38.7016129,15,Toronto
28.21774194,15,Toronto
40.31451613,15,Toronto
32.25,25,Toronto
46.76612903,25,Toronto
44.34677419,50,Toronto
68.54032258,50,Toronto
28.18548387,10,Toronto
36.25,10,Toronto
44.31451613,10,Toronto
34.63709677,20,Toronto
36.25,30,Toronto
44.31451613,30,Toronto
60.44354839,30,Toronto
54.7983871,55,Toronto
48.34677419,60,Toronto
56.41129032,60,Toronto
76.57258065,60,Toronto
64.47580645,150,Toronto
72.54032258,150,Toronto
96.73387097,150,Toronto
21.73387097,6,Toronto
26.57258065,6,Toronto
28.18548387,6,Toronto
20.12096774,7,Toronto
24.15322581,7,Toronto
29.7983871,7,Toronto
26.57258065,10,Toronto
32.21774194,10,Toronto
26.57258065,15,Toronto
33.02419355,15,Toronto
32.21774194,25,Toronto
40.28225806,25,Toronto
44.31451613,50,Toronto
45.92741935,50,Toronto
