price,downloadspeed,city,continent
35.28274529,100,Tokyo,Asia
35.29411765,200,Bucharest,Europe
35.29411765,40,Bucharest,Europe
35.36389271,100,Seoul,Asia
35.61151079,500,Hong Kong,Asia
35.61151079,30,Hong Kong,Asia
35.79136691,130,Hong Kong,Asia
36.08433735,50,Amsterdam,Europe
36.0931436,50,Copenhagen,Europe
36.0931436,35,Copenhagen,Europe
36.0931436,30,Copenhagen,Europe
36.14457831,20,Amsterdam,Europe
36.24939584,200,Tokyo,Asia
36.24939584,100,Tokyo,Asia
36.25,30,Toronto,North America
36.25,25,Toronto,North America
36.25,10,Toronto,North America
36.25,10,Toronto,North America
36.28225806,10,Toronto,North America
36.2962963,20,Prague,Europe
36.45714286,16,London,Europe
36.52439024,5,Dublin,Europe
36.5290951,100,Seoul,Asia
36.58536585,60,Dublin,Europe
36.73272112,100,Tokyo,Asia
37,250,Riga,Europe
37,50,Riga,Europe
37.00338328,26,Tokyo,Asia
37.05645161,6,Toronto,North America
37.14285714,76,London,Europe
37.17948718,64,Berlin,Europe
37.25743855,20,Copenhagen,Europe
37.28647666,1000,Seoul,Asia
37.29812868,100,Seoul,Asia
37.38680466,40,Copenhagen,Europe
37.38680466,40,Copenhagen,Europe
37.40740741,20,Prague,Europe
37.41007194,1000,Hong Kong,Asia
37.63529412,30,Paris,Europe
37.69937168,100,Tokyo,Asia
37.75255762,200,Seoul,Asia
37.85714286,50,London,Europe
37.97003383,50,Tokyo,Asia
38.03363519,18,Copenhagen,Europe
38.33333333,25,Berlin,Europe
38.33333333,6,Berlin,Europe
38.3974359,16,Berlin,Europe
38.44871795,16,Berlin,Europe
38.44871795,6,Berlin,Europe
38.44871795,6,Berlin,Europe
38.45167906,160,Seoul,Asia
38.45167906,100,Seoul,Asia
38.45167906,100,Seoul,Asia
38.47269212,12,Tokyo,Asia
38.66935484,5,Toronto,North America
38.68046572,60,Copenhagen,Europe
38.68046572,60,Copenhagen,Europe
38.68046572,50,Copenhagen,Europe
38.68046572,48,Copenhagen,Europe
38.68046572,40,Copenhagen,Europe
38.68046572,36,Copenhagen,Europe
38.7016129,15,Toronto,North America
38.81176471,1000,Paris,Europe
38.81176471,300,Paris,Europe
38.81176471,100,Paris,Europe
39.14934751,1000,Tokyo,Asia
39.15662651,25,Amsterdam,Europe
39.4,200,Paris,Europe
39.63267279,100,Tokyo,Asia
39.95,20,Bristol,North America
39.95,20,San Francisco,North America
39.95,5,San Francisco,North America
39.99,20,San Francisco,North America
39.99,15,"Kansas City, KS & MO",North America
39.99,15,Los Angeles,North America
39.99,15,New York,North America
39.99,10,"Washington, DC",North America
40.28225806,30,Toronto,North America
40.28225806,25,Toronto,North America
40.28225806,20,Toronto,North America
40.28776978,10,Zurich,Europe
40.31451613,15,Toronto,North America
40.37426301,100,Seoul,Asia
41.00719424,50,Hong Kong,Asia
41.05882353,30,Paris,Europe
41.08264862,200,Tokyo,Asia
41.08264862,100,Tokyo,Asia
41.08870968,30,Toronto,North America
41.45121951,100,Dublin,Europe
41.65588616,40,Copenhagen,Europe
41.66,100,San Francisco,North America
41.72661871,15,Zurich,Europe
41.89516129,10,Toronto,North America
41.91461837,35,Copenhagen,Europe
41.92741935,10,Toronto,North America
41.94728624,1000,Seoul,Asia
41.94728624,200,Seoul,Asia
41.95,15,"Kansas City, KS & MO",North America
42.04929918,200,Tokyo,Asia
42.04929918,100,Tokyo,Asia
42.17948718,50,Berlin,Europe
42.24358974,16,Berlin,Europe
42.28205128,50,Berlin,Europe
42.32941176,15,Paris,Europe
42.44604317,50,Zurich,Europe
42.5614489,50,Copenhagen,Europe
42.5614489,50,Copenhagen,Europe
42.57142857,100,Riga,Europe
42.62195122,70,Dublin,Europe
42.68292683,100,Dublin,Europe
42.78571429,76,London,Europe
42.85714286,100,Riga,Europe
42.85714286,100,Riga,Europe
42.85714286,76,London,Europe
43.32926829,7,Dublin,Europe
43.5785696,100,Seoul,Asia
43.7037037,40,Prague,Europe
43.88489209,40,Zurich,Europe
43.97590361,50,Amsterdam,Europe
44.11764706,30,Bucharest,Europe
44.11764706,30,Bucharest,Europe
44.31451613,50,Toronto,North America
44.31451613,30,Toronto,North America
44.31451613,30,Toronto,North America
44.31451613,10,Toronto,North America
44.34677419,50,Toronto,North America
44.46592557,30,Tokyo,Asia
44.50194049,50,Copenhagen,Europe
44.80769231,50,Berlin,Europe
44.85897436,16,Berlin,Europe
44.85897436,16,Berlin,Europe
44.88888889,40,Prague,Europe
44.95,18,Chattanooga,North America
44.95,18,Lafayette,North America
44.95,18,Los Angeles,North America
44.99,50,"Washington, DC",North America
45,100,London,Europe
45.1097561,24,Dublin,Europe
45.12195122,120,Dublin,Europe
45.12195122,60,Dublin,Europe
45.14877102,30,Copenhagen,Europe
45.18072289,40,Amsterdam,Europe
45.28235294,500,Paris,Europe
45.50195567,5,Mexico City,North America
45.92741935,50,Toronto,North America
46.47,25,Chattanooga,North America
46.47,25,San Francisco,North America
46.60809583,1000,Seoul,Asia
