US1,EU1,US2,EU2,US3,EU3,US4,EU4,US5,EU5
0,12,25,9,30,15,45,19,25,17,70,32
69,93,98,71,60,66,85,88,130,99,320,163
36.26,37.47,44.75,32.61,49.68,41.26,63.21,48.48,78.19,56.64,127.98,85.46
34.99,34.28,41.95,32.10,54.97,42.59,69.99,44.65,69.99,53.81,70,38.81
